full_text_normal,label,score
sl amp,NEGATIVE,0.989063560962677
kampus kalau gituan bikin rusuh dis dlu yang bikin rusuh ditiadakan sm kampus acaranya baru tau rasa life after cvd orgorg makin sinting gebuk org laen kek gaada takut nye dh hhhhh lu pd stres dikurung rumah sampe jadi gila akhir,NEGATIVE,0.9917899370193481
weve received dozens of emails about our episode on mental health suicide and grief heres that show heres what real talkers are telling us email talk com,NEGATIVE,0.9930397272109985
cerita ringan dinikmati orang  stres butuh tontonan ringan cocok mau dikata klise lah biasalah kata aku selama aku menikmatinya visual oke bikin migrain konfliknya tonton,POSITIVE,0.9986061453819275
malah bunuh kuman,NEGATIVE,0.9917341470718384
bangku bangku sedang dipelajari buku sajak pikiran penatnya kaki tak kuasa terkapar ribuan tangga nurani gelisah teori aku bergurau bunda untuk apa siang kini teduh aku kenyang kantuk bolehkah aku pulang pangkuanmu,NEGATIVE,0.9912897348403931
enak banget pny org dalem berbeda denganku stres tiap hari cari2 loker,POSITIVE,0.9990735054016113
ohhh,NEGATIVE,0.6888854503631592
spoiler jdi nnti adegan oyakata sama bunuh diri bersama istri 2 anaknya di sebelah kiri buat jebak muzan selamat saja 3 anak yang di kanan udh ngungsi duluan final arc lawan muzan jadi mereka tidak waktu buat berduka mewek banget asli,POSITIVE,0.983609676361084
ak lbih menjaga perasaan org krna mau org sedih,POSITIVE,0.927624523639679
saran kak next kalau punya kucing jantan 1 makanan jangan sembarangan 2 pilih kawinkebiri 3 cek selalu minimal 2hari sekali kondisi perutnya keras tidak cek perilaku tbtb berubah murung gelisah,NEGATIVE,0.9978766441345215
ngerasa mellow over everything berita happy jadi mau nangis berita sedih mau nangis jg diem mau nangis bingung,POSITIVE,0.7915410995483398
wtf food in the bathroom while the toilets in use is mental to me,NEGATIVE,0.9969733953475952
pk pm full ngasal tuh bs gasi dapet skor 700gua tuh gaada persiapan sm sekali buat siapin mental kalau amit ga keterima hati ga tenang banget,NEGATIVE,0.9991481304168701
takut kalau tinggal sendirian malah bunuh diri,NEGATIVE,0.9995830655097961
the article was bs biden s cabinet fires back at scathing report exposing declining mental acuity fox news,NEGATIVE,0.9969233870506287
selalu senyum senyum sendiri kek orang stres tiap baca candy,POSITIVE,0.9956408739089966
sedih banget saat sakit gini udh diajakin 2 party sama 1 event animek,NEGATIVE,0.9878950119018555
jg punya trauma dibenci satu keluarganya pdhl yang salah emg gabikin hampir gila eyang meninggal malah sm cewe emg gabikin gue hampir bunuh diri funny how ppl called me a monster in their story and forget in which chapter they created me,NEGATIVE,0.8876480460166931
sedih adik,NEGATIVE,0.9971617460250854
kalau akhir akhir kamu sedang gelisah khawatir rendah diri merasa hidupmu berkembang baca 1 petrus 5 6 7 10,POSITIVE,0.9669584035873413
apa se lucu anak manis jangan yang bikin sedih user aksaraviru gua gebukin ditempat,POSITIVE,0.9991511106491089
biasanya orang  gelisah kakinya gabisa diem,NEGATIVE,0.9992135763168335
as a person whose fav unit is wayv jujur sedih banget satt kayak we are finally getting the standard of promotion kondisinya gini huft,NEGATIVE,0.9979255199432373
feeling down liat foto meng  bentar akan ku adopt ga sedih senangnya kalau yang ditunggu2 hidup semoga semua lancar,POSITIVE,0.9998025298118591
bunuh kmu,NEGATIVE,0.9963635802268982
inimah bunuh diri tidak langsung,NEGATIVE,0.9996936321258545
yakan maksudnya bisa dioper mana mana gitu sedih jujur,NEGATIVE,0.987420380115509
herhalde bacim stres yapma sakin kal,NEGATIVE,0.9982420206069946
prioritize self care daily its essential for mental health physical wellness and overall happiness,POSITIVE,0.9983391761779785
know am late on this but happy men s mental health month to my kings am always here if you need anything just need to get something off your chest,POSITIVE,0.8192541599273682
silakan terusin bunuh pelanggan lo,NEGATIVE,0.9985492825508118
