full_text_normal,label,score
sl amp,NEGATIVE,0.989063560962677
kampus kalau gituan bikin rusuh dis dlu yang bikin rusuh ditiadakan sm kampus acaranya baru tau rasa life after cvd orgorg makin sinting gebuk org laen kek gaada takut nye dh hhhhh lu pd stres dikurung rumah sampe jadi gila akhir,NEGATIVE,0.9927719235420227
weve received dozens of emails about our episode on mental health suicide and grief heres that show heres what real talkers are telling us email talk com,NEGATIVE,0.9930397272109985
cerita ringan dinikmati orang  stres butuh tontonan ringan cocok mau dikata klise lah biasalah kata aku selama aku menikmatinya visual oke bikin migrain konfliknya tonton,POSITIVE,0.9986061453819275
malah bunuh kuman,NEGATIVE,0.9917341470718384
bangku bangku sedang dipelajari buku sajak pikiran penatnya kaki tak kuasa terkapar ribuan tangga nurani gelisah teori aku bergurau bunda untuk apa siang kini teduh aku kenyang kantuk bolehkah aku pulang pangkuanmu,NEGATIVE,0.9869916439056396
enak banget pny org dalem berbeda denganku stres tiap hari cari2 loker,POSITIVE,0.9990735054016113
ohhh,NEGATIVE,0.6888854503631592
spoiler jdi nnti adegan oyakata sama bunuh diri bersama istri 2 anaknya di sebelah kiri buat jebak muzan selamat saja 3 anak yang di kanan udh ngungsi duluan final arc lawan muzan jadi mereka tidak waktu buat berduka mewek banget asli,NEGATIVE,0.9905357956886292
ak lbih menjaga perasaan org krna mau org sedih,POSITIVE,0.927624523639679
saran kak next kalau punya kucing jantan 1 makanan jangan sembarangan 2 pilih kawinkebiri 3 cek selalu minimal 2hari sekali kondisi perutnya keras tidak cek perilaku tbtb berubah murung gelisah,NEGATIVE,0.9978766441345215
ngerasa mellow over everything berita happy jadi mau nangis berita sedih mau nangis jg diem mau nangis bingung,POSITIVE,0.7915410995483398
wtf food in the bathroom while the toilets in use is mental to me,NEGATIVE,0.9969733953475952
pk pm full ngasal tuh bs gasi dapet skor 700gua tuh gaada persiapan sm sekali buat siapin mental kalau amit ga keterima hati ga tenang banget,NEGATIVE,0.9995357990264893
takut kalau tinggal sendirian malah bunuh diri,NEGATIVE,0.9995830655097961
the article was bs biden s cabinet fires back at scathing report exposing declining mental acuity fox news,NEGATIVE,0.9969233870506287
selalu senyum senyum sendiri kek orang stres tiap baca candy,POSITIVE,0.9956408739089966
sedih banget saat sakit gini udh diajakin 2 party sama 1 event animek,NEGATIVE,0.9878950119018555
jg punya trauma dibenci satu keluarganya pdhl yang salah emg gabikin hampir gila eyang meninggal malah sm cewe emg gabikin gue hampir bunuh diri funny how ppl called me a monster in their story and forget in which chapter they created me,NEGATIVE,0.9428907632827759
sedih adik,NEGATIVE,0.9971617460250854
kalau akhir akhir kamu sedang gelisah khawatir rendah diri merasa hidupmu berkembang baca 1 petrus 5 6 7 10,NEGATIVE,0.6064698100090027
apa se lucu anak manis jangan yang bikin sedih user aksaraviru gua gebukin ditempat,POSITIVE,0.9991511106491089
biasanya orang  gelisah kakinya gabisa diem,NEGATIVE,0.9992135763168335
as a person whose fav unit is wayv jujur sedih banget satt kayak we are finally getting the standard of promotion kondisinya gini huft,NEGATIVE,0.9979255199432373
feeling down liat foto meng  bentar akan ku adopt ga sedih senangnya kalau yang ditunggu2 hidup semoga semua lancar,POSITIVE,0.9998025298118591
bunuh kmu,NEGATIVE,0.9963635802268982
inimah bunuh diri tidak langsung,NEGATIVE,0.9996936321258545
yakan maksudnya bisa dioper mana mana gitu sedih jujur,NEGATIVE,0.987420380115509
herhalde bacim stres yapma sakin kal,NEGATIVE,0.9982420206069946
prioritize self care daily its essential for mental health physical wellness and overall happiness,POSITIVE,0.9983391761779785
know am late on this but happy men s mental health month to my kings am always here if you need anything just need to get something off your chest,POSITIVE,0.8192541599273682
silakan terusin bunuh pelanggan lo,NEGATIVE,0.9985492825508118
sevgili renciler yksekretim kurumlar snavna yks girecek her birinize baarlar dilerim bu snav hayallerinize bir adm daha yaklamanz iin nemli bir frsat unutmayn baarya ulamann yolu kararllk sabr ve almaktan geer snav srecinde stres ve,NEGATIVE,0.9957650899887085
u hayatta bir duygu olsam kesin stres olurdum bir insan hereye stres yapar m,NEGATIVE,0.995879054069519
lobotomies were performed in several countries from the mid 1930s to the mid 1960s on some 50 000 people in the us alone the practice was similarly characterized as improving the mental health and well being of people,POSITIVE,0.9672447443008423
iyaaa allah aku stres gegara ujiaann 2 minggu lamanyaa besok hari terakhir hehe yeayeaayy semangatt otw kls 12 hufftttt omgg bahasa arab semangattt bantaaii soal2 bahasa arab ituu faayyy iyaa aku nungguin banget gosee yeayy,POSITIVE,0.9054481983184814
warga kampung ny perlu usut ni jgn kasih kendor tangkep semua main hakim sendiri udh capek2 jauh malah fitnah bunuh sadis banget otak ga dipake,NEGATIVE,0.9962564706802368
u nk bunuh ke,NEGATIVE,0.9977220892906189
karna sedih harus makan,NEGATIVE,0.9961368441581726
followersku sedikit diambil sama melon sedih banget,NEGATIVE,0.9997246861457825
3 woi,POSITIVE,0.9994650483131409
hahaha aku ketawa sedih,NEGATIVE,0.8646582365036011
cabrn hasta elegir candidatos eres malo caray yo pens nada ms en el boxeo eras pendej pero lo tuyo es un retraso mental,POSITIVE,0.5256052613258362
cha ilah bahasa lu kal kal kil kal kil sini ribut dm sama gua anjing keparat kalau mau gua ladenin pake bahasa apa gampang banget lu bilang bunuh bunuh agama apa lu jangan jangan lu cowok kesepian ga punya cewek makanya seneng doing harassment,NEGATIVE,0.9933619499206543
pada baca gua udah kaga lanjut kelar will bunuh mantan suami rein,NEGATIVE,0.9975814819335938
stres yapmayn olum snav var diye apartman reisi mi olacaksnz,NEGATIVE,0.9969204664230347
a person with mental illness,NEGATIVE,0.9860170483589172
niat cara benar apa menurutmu cukup niat baik terus caranya bebas kasus ibu2 bunuh anaknya masih kecil ga mau anaknya menderita menurutmu gmn kan niatnya baik,POSITIVE,0.7847846746444702
do you realize homosexuality was recognized by the apa as a mental illness as recently as 1973 this post proves they were wrong in bowing to a queer situation,NEGATIVE,0.987125813961029
makasih banyak ganya semoga kakak selalu sehat selalu yah gt,POSITIVE,0.9998453855514526
sebuah buku sempurna memerintahkan bunuh kafir yahudi kristen,POSITIVE,0.9937829375267029
sedih ditinggal temennya,NEGATIVE,0.9986199140548706
sedih,NEGATIVE,0.999589741230011
sedih gonna miss you rave,POSITIVE,0.9977389574050903
iya sedih banget,NEGATIVE,0.9970512390136719
eh lu bener jonatan gua mau stres pliss,POSITIVE,0.8956508040428162
stres banget jujur nonton timnas,POSITIVE,0.9521804451942444
this is 100 true,POSITIVE,0.9997746348381042
pernah kadang momen mana aku pilih kesehatan mental sendiri walaupun hubungannya deket banget kalau udah terlalu toxic bikin stres terpaksa nge cut off susah kadang memang demi kebaikan bersama,NEGATIVE,0.9980363249778748
pazi prste pec sa mnom ljubav bie stres,NEGATIVE,0.9923447966575623
ma naravno tvoja stvar za tvoje dete nama nije bilo vano blendanje on je brzo preao na komadie nego da mogu lako brzo da spremim zdrav obrok sa namirnicama koje znam da on voli samo ti htedoh reci da to ne mora biti stres ili sekiracija naprotiv,NEGATIVE,0.9940716624259949
he wont discuss abt it kj and tmj work together for johor youth development ibarat bunuh diri la if ks discuss psl ni,NEGATIVE,0.9270492196083069
gua mo marahh sama siapa anjirr,NEGATIVE,0.9992778897285461
bizarro pensar que algum defenderia o retorno dos mesmos ao poder voc pode rebater tidak fundo sabe que uma reflexo sria e honesta lhe causaria uma pane mental,NEGATIVE,0.9755269289016724
sumpah kae pa ngancem arep bunuh diri sing ngremis kacang,NEGATIVE,0.9995230436325073
te das cuenta porque sos retrasado mental comprar roban un chicle con balear a un laburante en una estacin de servicio y te pensas encima que la gente que voto el que las hace las paga van a perdonar a gente que tiene plata vuelven por fracasados y corruptos,NEGATIVE,0.9842396974563599
netizen investigasi mafia gelisah terungkap menteror saksi sebenarnya mdh mengungkap kasus tapi dibikin berbelit berkaitan orang berpangkat ada cctv pelaku amp,NEGATIVE,0.9972894191741943
bunuh org takbirr ualah akbar bom orag takbir aulah akbar ngentot org takbir koplak koplak,NEGATIVE,0.9982820749282837
lu ngetwit mulu stres,NEGATIVE,0.9951477646827698
doing what we love to do more talk about mental health this week we spread awareness about with our workshop the anxiety epidemic at thank you for having us,POSITIVE,0.9997096657752991
global climate crisis won t end the human it s mental unstable retards well done for taking care of those in need of help,NEGATIVE,0.9977878332138062
kes bunuh bapa saudara haji baki suspek disahkan positif dadah rekod jenayah,POSITIVE,0.9996316432952881
ich bin so frhlich dass ich kann ihn jetz auf spanisch lesen pero de verdad es genial,NEGATIVE,0.9787942171096802
apalah anj orang tolol masalah seberat apasi sampe bunuh diri,NEGATIVE,0.9995712637901306
anak kecil sekarang kayak dajjal gampang banget bunuh org,NEGATIVE,0.9777690172195435
